,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,TIME
11,1220922,2316541,930378,1927235,785661,555828,1926504,1734997,1181771,1923812,2361700,1671968,1476861,1307179,1409167,561097,1874290,1784557,2137303,539996,764778,1488744,2541847,1480507,677952,1744885,1346117,2530834,1401781,744013,1385443,2130012,870200,712641,2340895,2700805,896539,1055697,1803051,879412,1977717,1812588,2608693,1963729,1782083,1068407,1314067,1122742,1249504,1030553,774650,673736,1658924,698679,1156527,1271417,1019363,1186073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
12,1032320,1980321,752932,1668078,680525,468044,1538320,1397005,1042330,1630013,2012970,1448196,1276687,1088561,1141942,510278,1841291,1496111,1651984,458810,661810,1231346,2094216,1272385,650556,1502956,1112868,2010441,1241816,678376,1168018,1791628,726152,664703,1931704,2229099,801476,899459,1694334,726159,1693698,1554400,2357700,1655237,1473885,868822,1148790,933369,1076787,856430,686787,584185,1384991,620408,993855,1183966,931281,1034959,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
13,913865,1763219,711126,1469008,648848,403717,1350702,1513527,890453,1566991,1860539,1300992,1138978,1109174,1039353,479499,1530849,1180198,1526267,443468,592164,1182020,1909342,1097129,506175,1411437,1063439,1789268,1080683,637571,1172488,1550019,711961,570881,1606868,1952811,717227,867370,1760960,654389,1600736,1454984,2022742,1564305,1450658,830829,1139469,887877,973962,752248,625989,545508,1331802,590866,819833,1093306,876617,992144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
14,969967,1880180,792276,1595822,680671,437720,1421464,1681778,924677,1625605,1903136,1308273,1188980,1175049,1092485,499002,1534695,1246507,1527585,432022,614596,1362523,1882176,1188248,541317,1569738,1060440,1816643,1155483,695618,1294538,1539755,736658,666021,1679400,1933895,782910,993661,1884273,721314,1596950,1577832,2035995,1664324,1549212,792601,1252349,960421,1007913,801117,690722,598535,1417294,667360,884249,1154034,958300,1025774,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
15,1061222,1999293,888280,1664449,706214,466122,1565256,1739361,937787,1608314,1968664,1337496,1319866,1153188,1234314,550584,1640192,1460300,1670660,501368,730323,1353123,2096839,1287861,564010,1601934,1075432,1870762,1201745,725830,1292980,1794713,766331,729891,1843209,2133454,865565,951146,1664033,752590,1754206,1602366,2162728,1729213,1551566,928946,1219478,972910,1135130,858768,701519,614866,1514061,687378,960527,1101426,973847,1105786,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
16,1083765,2100080,876934,1746378,779227,521376,1578165,1886020,1034589,1626377,1880767,1347850,1289207,1302991,1200120,585761,1770990,1412852,1729189,549128,711246,1475903,2084596,1383055,650907,1640759,1080509,1806886,1244149,752838,1383362,1837325,795407,808349,1831255,2170717,932900,991666,1755050,795732,1833550,1812923,2190913,1732449,1675109,960410,1323384,985435,1167381,856690,736575,657288,1664316,737828,1156173,1198860,1040091,1225150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
17,1083765,2100080,848179,1688618,790592,520927,1552130,1795137,1016719,1566560,1609391,1325756,1274025,1214361,1258848,552831,1889251,1348708,1711569,524039,713768,1461194,2084596,1437939,637642,1609144,1093887,1687162,1155278,734270,1446330,1926863,813679,808349,1831255,2144069,931300,894014,1727809,687942,1784704,1672791,2187152,1756506,1543332,960410,1218203,934078,1137346,891459,736575,669948,1638869,722938,1333547,1202364,999576,1273118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0
18,1146582,2220494,915216,1901054,862850,556308,1872323,1844653,1181571,1817754,1792272,1443685,1297785,1209434,1283652,631271,2242927,1534111,1795810,582811,763737,1504042,2426684,1570194,765039,1718380,1169647,1783844,1240699,773664,1450165,2258378,842739,856104,2081951,2355338,948523,903755,1833393,723613,1933940,1742560,2621254,1837694,1564360,1084626,1137815,957064,1456048,841052,721016,654110,1594620,687056,1626191,1148467,1067324,1339551,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0
19,1142495,2221672,1041730,2054896,925460,563017,1864454,2060239,1240053,1922061,1913205,1396079,1342576,1264741,1343445,634076,2310622,1625297,1831073,572222,768700,1651028,2469486,1721077,810138,1763478,1223906,1879092,1329653,781835,1514970,2309055,859071,843237,2171288,2367655,1083169,980414,1916655,802329,1927982,1792981,2646080,1854603,1598133,1151582,1177665,1020678,1569744,870093,796171,683734,1715982,717110,1644336,1217812,1120432,1443128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0
20,1010426,1998806,972268,1868105,787203,493870,1681742,1921060,1092784,1737859,1677516,1270412,1256091,1295160,1261728,586248,1940899,1384207,1638150,547903,718660,1474355,2175294,1473450,703770,1671565,1093925,1849884,1239556,753784,1336725,1923787,828119,820811,1872514,2064541,905623,1042516,1652383,750872,1792209,1625155,2066687,1690497,1650211,1018732,1213815,981249,1460946,776526,744690,642151,1695607,752466,1199751,1286748,1065525,1229525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0
